"","Astrocytes","Excitatory","Inhibitory","OPC","Oligodendrocytes","Microglia","model_performance"
"Astrocytes",1,0.0832030771857655,0.15457419407931,0.182879728908396,0.234602624243591,0.104091828323992,0.62
"Excitatory",0.0832030771857655,1,0.128692683393595,0.0796223722263882,0.0843876344422291,0.0569305653113802,0.61
"Inhibitory",0.15457419407931,0.128692683393595,1,0.129628155761806,0.161053204107963,0.0990591629757053,0.67
"OPC",0.182879728908396,0.0796223722263882,0.129628155761806,1,0.179387657216852,0.0885883180394987,0.62
"Oligodendrocytes",0.234602624243591,0.0843876344422291,0.161053204107963,0.179387657216852,1,0.111983801218186,0.68
"Microglia",0.104091828323992,0.0569305653113802,0.0990591629757053,0.0885883180394987,0.111983801218186,1,0.61
