"","Astrocytes","Excitatory","Inhibitory","OPC","Oligodendrocytes","Microglia","model_performance"
"Astrocytes",1,0.0562182506278056,0.0820142228360313,0.108900146902254,0.152722043454404,0.0669656075573738,0.56
"Excitatory",0.0562182506278056,1,0.171871423802477,0.0792596702763812,0.0725347093301263,0.0533535077291119,0.62
"Inhibitory",0.0820142228360313,0.171871423802477,1,0.164048684925139,0.183073752463237,0.105040913670928,0.69
"OPC",0.108900146902254,0.0792596702763812,0.164048684925139,1,0.193910622946946,0.107697308558447,0.62
"Oligodendrocytes",0.152722043454404,0.0725347093301263,0.183073752463237,0.193910622946946,1,0.122335861352136,0.66
"Microglia",0.0669656075573738,0.0533535077291119,0.105040913670928,0.107697308558447,0.122335861352136,1,0.64
